"País","Género","Edad_del_encuestado_calculada","Interés_en_la_política","Confianza_politicos","Confianza_parlamento","Confianza_partidos_politicos","Votó_en_la_última_elección_nacional","Participó_en_una_manifestación_pública_en_los_últimos_12_meses","Sentimiento_de_cercanía_hacia_un_partido_político_en_particular","Rango_Edad","Region_Geografica"
"Germany","Female",28,2,4,6,5,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",39,3,6,7,7,"Yes","Yes","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",47,2,2,3,5,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",72,2,2,9,2,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",39,2,2,6,2,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",38,2,5,5,3,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",39,3,1,4,1,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",59,3,0,0,0,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",28,1,7,7,6,"Yes","Yes","Yes","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",75,3,2,3,2,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Female",66,3,1,2,1,"No","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",21,2,7,8,7,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",48,2,4,6,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",79,3,5,5,5,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Male",61,1,3,3,4,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",60,1,5,5,0,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",75,2,5,10,5,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Male",87,1,2,3,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",17,3,8,7,7,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",24,3,1,1,1,"No","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",38,2,6,7,5,"Yes","Yes","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",59,4,8,5,8,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",33,4,0,3,0,"Not eligible to vote","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",41,3,3,0,5,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",39,3,3,4,4,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",60,2,4,5,4,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",22,3,3,4,3,"No","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",90,4,4,5,4,"Not eligible to vote","No","No",NA,"Europa Occidental"
"Germany","Male",43,2,6,9,4,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",53,1,1,2,1,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",24,1,7,10,5,"Yes","Yes","Yes","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",30,2,7,8,7,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",73,2,8,5,4,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",82,1,2,7,2,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Male",16,2,6,5,5,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",63,2,4,4,4,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",40,2,5,7,5,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",29,4,4,8,3,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",48,1,3,3,3,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",28,2,8,8,6,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",68,2,7,10,5,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",55,2,6,7,7,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",89,2,6,5,6,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Male",23,3,5,6,5,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",64,1,6,9,5,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",33,2,8,9,8,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",55,1,4,4,4,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",56,2,3,3,3,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",50,1,7,8,7,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",29,3,1,3,1,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",25,4,7,7,9,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",65,1,3,3,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",58,2,5,3,5,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",20,2,4,6,6,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",55,2,3,7,3,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",38,2,6,6,6,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",35,2,0,0,0,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",58,2,3,4,4,"No","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",16,2,8,7,7,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",50,1,5,6,5,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",84,1,5,5,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Male",62,3,1,3,1,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",56,2,7,10,6,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",35,2,5,8,5,"Not eligible to vote","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",29,3,4,5,6,"Not eligible to vote","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",37,3,3,5,3,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",59,2,3,3,2,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",71,2,3,7,4,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",71,3,3,3,3,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",73,2,2,4,2,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",78,4,0,1,1,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Male",68,1,5,7,5,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",56,2,1,1,1,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Male",51,2,4,5,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",60,2,2,7,5,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",39,2,6,9,4,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",59,1,9,4,9,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",46,3,5,0,5,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",44,3,5,6,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",65,3,5,2,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",43,2,7,7,7,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",63,1,8,10,8,"Yes","Yes","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",52,4,0,0,0,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",60,2,6,7,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",33,4,0,9,0,"Not eligible to vote","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",75,1,5,8,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",63,3,3,3,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",39,2,1,6,1,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",64,3,3,3,3,"No","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",68,3,6,6,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",67,1,5,5,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",60,3,0,0,0,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",40,3,0,2,2,"No","Yes","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",39,2,0,1,1,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",35,2,3,5,3,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",32,2,2,3,4,"Not eligible to vote","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",55,2,4,5,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",66,1,4,4,4,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",59,1,3,2,1,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",75,3,4,3,6,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Female",61,1,5,5,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",42,3,4,5,4,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",33,1,2,4,2,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",56,2,1,3,1,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Male",22,3,3,2,3,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",81,2,8,8,7,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",27,3,1,3,4,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",45,1,0,0,0,"Not eligible to vote","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",26,4,4,4,4,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",66,3,3,2,0,"No","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",58,3,0,1,0,"No","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",41,2,1,1,2,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",74,2,5,6,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",87,3,5,5,5,"No","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Male",30,2,1,5,1,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",38,2,6,8,6,"Not eligible to vote","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",68,1,2,3,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",69,3,5,5,1,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",55,3,6,8,7,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",46,3,4,4,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",46,2,5,5,5,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",29,3,6,7,7,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",64,1,6,6,6,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",32,3,3,4,3,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",56,2,4,7,4,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",66,2,0,5,0,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",65,2,2,3,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",40,4,6,5,4,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",76,1,3,3,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",50,3,2,2,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Male",34,2,0,3,1,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",68,2,5,4,2,"No","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",19,3,6,8,6,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",27,3,5,5,5,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",29,3,3,4,3,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",74,1,5,5,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Male",31,2,3,4,3,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",60,1,1,0,1,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",24,3,7,7,5,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",30,2,2,3,2,"Yes","Yes","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",73,2,5,5,4,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",35,2,2,5,3,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",59,3,2,3,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",73,3,4,3,0,"No","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",74,2,0,5,3,"Yes","Yes","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",27,3,7,8,7,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",78,3,6,5,6,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Male",52,1,0,0,0,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",24,3,3,8,3,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",25,2,7,9,5,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",71,1,5,7,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",61,1,3,3,3,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",22,2,6,7,3,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",73,3,6,8,4,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",32,1,3,5,3,"No","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",64,1,3,3,4,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",83,1,7,8,6,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Male",39,3,4,4,4,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",86,2,5,5,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",26,3,1,4,3,"Yes","Yes","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",63,3,3,3,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",69,3,3,5,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",35,2,4,6,4,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",36,2,6,6,4,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",40,3,5,3,3,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",61,1,2,8,3,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",71,1,4,4,3,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",50,2,6,6,5,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",64,2,0,3,0,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",57,2,5,4,3,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",38,4,4,2,6,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",74,3,0,0,0,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Male",68,1,6,4,4,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",16,3,6,10,8,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",73,1,1,2,3,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",40,4,5,5,5,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",31,2,3,6,3,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",71,3,3,4,3,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",27,1,7,7,7,"Yes","Yes","Yes","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",28,2,1,2,2,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",48,3,3,5,3,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",37,3,6,6,5,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",47,3,4,5,3,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",57,1,5,10,5,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",74,2,2,2,2,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Female",28,3,3,5,3,"No","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",82,2,4,6,4,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Female",85,1,5,5,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",56,2,4,5,4,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",54,1,7,8,7,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",80,1,7,8,7,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",67,1,5,6,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",35,4,6,8,6,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",56,1,8,8,6,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",21,3,3,4,2,"No","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",25,3,7,8,6,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",55,1,7,8,7,"Yes","Yes","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",71,1,6,7,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",32,2,1,4,1,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",68,1,5,6,5,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",56,1,7,7,6,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",34,4,4,8,6,"Not eligible to vote","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",64,1,6,6,5,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",62,3,2,3,1,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",42,3,3,3,4,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",62,2,3,3,4,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",35,1,3,3,3,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",58,2,0,0,2,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",52,1,1,4,2,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",67,2,5,6,8,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",25,4,3,0,3,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",79,2,0,0,0,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Male",74,3,0,0,0,"No","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Male",46,1,7,7,7,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Male",84,2,5,6,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",81,2,5,5,4,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Male",40,1,0,0,0,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",68,2,7,8,6,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",68,2,6,6,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",54,2,7,9,7,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Male",63,2,6,5,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",29,3,3,3,4,"No","Yes","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",55,1,5,9,5,"No","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Male",21,3,5,6,5,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",53,2,5,6,6,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",36,1,2,6,2,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",74,1,7,10,5,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Female",62,3,2,2,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",45,1,1,6,3,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",55,1,1,5,5,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Male",26,3,2,5,1,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",66,1,6,8,4,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",41,1,6,9,6,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",48,3,6,7,6,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",42,3,0,1,0,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",87,1,0,0,0,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Male",60,4,0,1,0,"Not eligible to vote","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",70,1,1,3,1,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",84,2,0,4,4,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Male",49,2,7,8,4,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",70,1,5,7,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",63,1,1,5,1,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",81,2,7,4,4,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Female",41,1,6,7,6,"Yes","Yes","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",69,1,4,5,4,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",81,2,2,0,1,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Female",29,2,7,7,6,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",45,2,6,7,5,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",64,2,2,1,2,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",32,3,3,5,3,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",52,2,1,2,1,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",59,2,1,1,1,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",55,4,3,2,3,"No","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",73,3,2,3,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Female",23,2,5,9,6,"Yes","Yes","Yes","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",81,2,5,5,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",61,2,4,4,4,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",57,1,4,7,6,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Male",54,2,2,2,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Female",85,1,5,1,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Male",88,1,5,5,5,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Germany","Female",50,3,6,6,6,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Germany","Female",37,3,3,8,3,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",40,2,6,7,5,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Female",24,2,6,6,6,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",21,3,0,1,2,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Germany","Female",45,1,2,4,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Germany","Male",80,2,5,3,4,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Germany","Female",60,2,6,5,7,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",26,3,4,6,6,"No","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",73,1,6,4,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",19,3,2,7,4,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Germany","Male",35,2,7,7,7,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Germany","Male",59,1,6,8,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Germany","Male",21,3,6,5,7,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
